,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PEGA,Pegasystems Inc.,,88.55 +19.79 (+28.78%),19.79,+28.78%,3.833M,963942,7.606B,79.77,+16.78%,
1,SMMT,Summit Therapeutics Inc.,,33.23 +5.88 (+21.50%),5.88,+21.50%,11.692M,2.931M,24.513B,--,+661.84%,
2,DJTWW,Trump Media & Technology Group Corp.,,16.39 +2.51 (+18.08%),2.51,+18.08%,146396,28577,5.234B,--,+24.31%,
3,TEM,"Tempus AI, Inc.",,49.55 +6.32 (+14.62%),6.32,+14.62%,16.659M,13.516M,8.574B,--,+7.40%,
4,TNXP,Tonix Pharmaceuticals Holding Corp.,,17.02 +2.06 (+13.77%),2.06,+13.77%,759205,1.675M,117.06M,--,-97.08%,
5,DJT,Trump Media & Technology Group Corp.,,26.38 +2.73 (+11.54%),2.73,+11.54%,14.578M,5.37M,5.82B,--,-33.70%,
6,ATI,ATI Inc.,,50.43 +4.82 (+10.57%),4.82,+10.57%,2.439M,2.299M,7.114B,19.78,-7.33%,
7,APPN,Appian Corporation,,29.56 +2.82 (+10.55%),2.82,+10.55%,1.281M,587426,2.189B,--,-27.06%,
8,DUOL,"Duolingo, Inc.",,370.00 +33.66 (+10.01%),33.66,+10.01%,1.093M,910350,16.74B,196.81,+55.44%,
9,SMTC,Semtech Corporation,,27.15 +2.46 (+9.96%),2.46,+9.96%,3.101M,3.078M,2.349B,--,-27.17%,
10,TLX,Telix Pharmaceuticals Limited,,18.33 +1.66 (+9.96%),1.66,+9.96%,49628,36198,6.135B,203.67,+10.03%,
11,ACHR,Archer Aviation Inc.,,8.06 +0.72 (+9.74%),0.72,+9.74%,26.032M,27.656M,4.37B,--,+84.89%,
12,BNTX,BioNTech SE,,114.83 +10.15 (+9.70%),10.15,+9.70%,2.52M,904888,27.604B,--,+18.83%,
13,MBLY,Mobileye Global Inc.,,13.20 +1.15 (+9.54%),1.15,+9.54%,5.21M,4.568M,10.715B,--,-61.28%,
14,ROOT,"Root, Inc.",,147.60 +12.65 (+9.37%),12.65,+9.37%,618367,678183,2.244B,80.22,+124.84%,
15,CRDO,Credo Technology Group Holding Ltd,,40.49 +3.47 (+9.37%),3.47,+9.37%,4.153M,5.901M,6.875B,1349.67,+108.21%,
16,WGS,GeneDx Holdings Corp.,,105.69 +8.80 (+9.08%),8.8,+9.08%,1.23M,1.021M,3.016B,--,+719.71%,
17,ALAB,"Astera Labs, Inc.",,60.15 +4.84 (+8.75%),4.84,+8.75%,4.41M,5.144M,9.754B,--,-22.09%,
18,OKLO,Oklo Inc.,,23.36 +1.83 (+8.50%),1.83,+8.50%,15.544M,16.243M,3.247B,--,+60.67%,
19,VRT,Vertiv Holdings Co,,78.00 +6.18 (+8.60%),6.18,+8.60%,22.688M,12.202M,29.701B,60.94,-15.08%,
20,FQVLF,First Quantum Minerals Ltd.,,13.09 +0.99 (+8.18%),0.99,+8.18%,74937,208685,10.92B,--,+3.95%,
21,APH,Amphenol Corporation,,71.12 +5.37 (+8.17%),5.37,+8.17%,17.378M,8.618M,86.182B,37.04,+13.06%,
22,MKSI,"MKS Instruments, Inc.",,67.91 +5.05 (+8.03%),5.05,+8.03%,1.726M,1.45M,4.58B,24.17,-44.75%,
23,SOUN,"SoundHound AI, Inc.",,8.75 +0.61 (+7.49%),0.61,+7.49%,26.848M,36.13M,3.491B,--,+102.99%,
24,CRS,Carpenter Technology Corporation,,190.70 +13.32 (+7.51%),13.32,+7.51%,1.628M,891821,9.525B,35.98,+120.62%,
25,COHR,Coherent Corp.,,59.33 +4.20 (+7.62%),4.2,+7.62%,3.284M,4.485M,9.194B,--,+5.82%,
26,SMCI,"Super Micro Computer, Inc.",,32.90 +2.32 (+7.59%),2.32,+7.59%,55.298M,75.87M,19.526B,14.30,-59.48%,
27,SAP,SAP SE,,271.37 +18.97 (+7.52%),18.97,+7.52%,2.717M,1.428M,323.023B,89.56,+34.21%,
28,XPEV,XPeng Inc.,,20.47 +1.40 (+7.34%),1.4,+7.34%,9.656M,13.038M,19.278B,--,+169.35%,
29,SG,"Sweetgreen, Inc.",,18.45 +1.28 (+7.45%),1.28,+7.45%,3.748M,4.058M,2.164B,--,-20.95%,
30,PLTR,Palantir Technologies Inc.,,100.82 +6.83 (+7.27%),6.83,+7.27%,111.057M,109.909M,236.459B,530.63,+335.34%,
31,KVYO,"Klaviyo, Inc.",,26.26 +1.81 (+7.40%),1.81,+7.40%,2.059M,1.696M,7.172B,--,+6.82%,
32,KC,Kingsoft Cloud Holdings Limited,,12.54 +0.84 (+7.18%),0.84,+7.18%,5.189M,4.412M,3.3B,--,+303.45%,
33,GLOB,Globant S.A.,,112.23 +7.30 (+6.96%),7.3,+6.96%,1M,961711,4.944B,30.09,-42.76%,
34,ZETA,Zeta Global Holdings Corp.,,12.06 +0.75 (+6.68%),0.75,+6.68%,4.204M,6.17M,2.868B,--,-7.90%,
35,CORT,Corcept Therapeutics Incorporated,,69.27 +4.59 (+7.10%),4.59,+7.10%,1.784M,1.544M,7.308B,56.32,+187.72%,
36,MDB,"MongoDB, Inc.",,162.66 +10.51 (+6.91%),10.51,+6.91%,2.96M,2.371M,13.206B,--,-58.80%,
37,AFRM,"Affirm Holdings, Inc.",,46.84 +3.02 (+6.89%),3.02,+6.89%,7.559M,8.335M,14.993B,--,+36.60%,
38,LITE,Lumentum Holdings Inc.,,55.17 +3.53 (+6.84%),3.53,+6.84%,2.539M,2.999M,3.818B,--,+22.78%,
39,CLS,Celestica Inc.,,88.22 +5.46 (+6.59%),5.46,+6.59%,4.806M,5.54M,10.23B,24.44,+87.69%,
40,MOD,Modine Manufacturing Company,,76.86 +4.66 (+6.45%),4.66,+6.45%,1.524M,1.518M,4.041B,25.88,-20.65%,
41,EWBC,"East West Bancorp, Inc.",,84.44 +5.23 (+6.60%),5.23,+6.60%,3.141M,1.257M,11.636B,10.14,+2.60%,
42,RKLB,"Rocket Lab USA, Inc.",,20.29 +1.25 (+6.57%),1.25,+6.57%,17.333M,18.001M,9.202B,--,+415.99%,
43,RGTI,"Rigetti Computing, Inc.",,9.11 +0.54 (+6.30%),0.54,+6.30%,25.635M,66.518M,2.604B,--,+645.22%,
44,VST,Vistra Corp.,,119.97 +7.34 (+6.52%),7.34,+6.52%,6.489M,9.332M,40.809B,17.11,+59.85%,
45,UEC,Uranium Energy Corp.,,5.18 +0.34 (+7.13%),0.34,+7.13%,12.127M,8.413M,2.223B,--,-26.89%,
46,NOW,"ServiceNow, Inc.",,812.99 +46.16 (+6.02%),46.16,+6.02%,2.439M,2.025M,168.291B,119.21,+2.75%,
47,FRGE,"Forge Global Holdings, Inc.",,12.53 +0.72 (+6.14%),0.72,+6.14%,188077,89132,157.225M,--,-59.83%,
48,CAVA,"CAVA Group, Inc.",,86.44 +5.14 (+6.32%),5.14,+6.32%,2.753M,3.637M,9.992B,78.58,+34.58%,
49,CAMT,Camtek Ltd.,,63.97 +3.78 (+6.28%),3.78,+6.28%,450526,539606,2.917B,26.43,-22.30%,
